sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present1_absent0,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,sampling_method_tow_type,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow,LAT_DD_JL,LON_DD_JL,Depth_m_v21_50m,Depth_m_v21_1km,Dist2Shore_m,Near_Island,X_shore,Y_shore,DistTo30m_m,X_30m,Y_30m
Oscar Elton Sette_12_06station21,PICDR-113157,09/30/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113157,none,Cruise Report,larv,,0,Main Hawaiian Islands,Niihau,75nm W of leeward,21,"leeward, pelagic",21.827433333,-161.65900000000,,,dmm,8/18/2012,8,18,2012,08/12/2012-08/25/2013,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,376,,34.82,,,night,0,,170,0,Oscar Elton Sette_8/18/2012_21_night,0,24024144,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,75,,,,,,,,6,,35.2179,21.66004,25.97028,,,,0,21.82743,-161.659,,-4589.61,116847.2,Kaula,-160.545,21.65344,116507.5,-160.548,21.65643
Oscar Elton Sette_12_06station23,PICDR-113158,10/01/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113158,none,Cruise Report,larv,,0,Main Hawaiian Islands,Oahu,100nm SW of leeward,23,"leeward, pelagic",20.972666667,-159.76730000000,,,dmm,8/18/2012,8,18,2012,08/12/2012-08/25/2014,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,373,,34.54,,,night,0,,170,0,Oscar Elton Sette_8/18/2012_23_night,0,23832462,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,100,,,,,,,,7,,35.13961,20.93689,25.74163,,,,32,20.97267,-159.767,-4707.17,-4705.86,100076.8,Niihau,-160.203,21.77917,99958.34,-160.202,21.77836
Oscar Elton Sette_12_06station25,PICDR-113159,10/02/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113159,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,75nm off leeward Kona coast,25,"leeward, pelagic",19.630833333,-157.30696666667,,,dmm,8/19/2012,8,19,2012,08/12/2012-08/25/2015,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,336,,31.11,,,night,0,,170,0,Oscar Elton Sette_8/19/2012_25_night,0,21468384,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,75,,,,,,,,8,,35.04444,21.70528,26.53639,,,,3,19.63083,-157.307,-4428.67,-4420.87,116825.4,Kahoolawe,-156.679,20.50354,116753.8,-156.68,20.5032
Oscar Elton Sette_12_06station26,PICDR-113160,10/03/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113160,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,75nm off leeward Kona coast,26,"leeward, pelagic",19.594750000,-157.36026666667,,,dmm,8/20/2012,8,20,2012,08/12/2012-08/25/2016,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,375,,34.73,,,night,0,,170,0,Oscar Elton Sette_8/20/2012_26_night,0,23960250,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,75,,,,,,,,8,,35.04444,21.70528,26.53639,,,,17,19.59475,-157.36,-4420.8,-4418.81,123290.5,Kahoolawe,-156.679,20.50356,123166.5,-156.703,20.51809
Oscar Elton Sette_12_06station30,PICDR-113161,10/04/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113161,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,50nm off leeward Kona coast,30,"leeward, pelagic",19.593483333,-156.90851666667,,,dmm,8/21/2012,8,21,2012,08/12/2012-08/25/2017,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,377,,34.91,,,night,0,,170,0,Oscar Elton Sette_8/21/2012_30_night,0,24088038,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,50,,,,,,,,12,,35.05221,21.11278,26.44255,,,,13,19.59348,-156.909,-4748.34,-4755.58,90024.53,Hawaii,-156.062,19.72758,89887.71,-156.063,19.72665
Oscar Elton Sette_12_06station34,PICDR-113162,10/05/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113162,none,Cruise Report,larv,,0,Main Hawaiian Islands,Hawaii,25nm off leeward Kona coast,34,"leeward, pelagic",19.672783333,-156.39916666667,,,dmm,8/22/2012,8,22,2012,08/12/2012-08/25/2018,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,374,,34.63,,,night,0,,170,0,Oscar Elton Sette_8/22/2012_34_night,0,23896356,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,25,,,,,,,,10,,35.02598,20.62647,26.33514,,,,9,19.67278,-156.399,-4672,-4637.43,35884.71,Hawaii,-156.062,19.72758,35747.49,-156.063,19.72665
Oscar Elton Sette_12_06station36,PICDR-113163,10/06/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113163,none,Cruise Report,larv,,0,Main Hawaiian Islands,Lanai,25nm off leeward Kona coast,36,"leeward, pelagic",20.731816667,-157.46255000000,,,dmm,8/22/2012,8,22,2012,08/12/2012-08/25/2019,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,338,,31.30,,,night,0,,170,0,Oscar Elton Sette_8/22/2012_36_night,0,21596172,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,25,,,,,,,,11,,35.09997,21.55425,26.33514,,,,0,20.73182,-157.463,-2555.41,-2605.53,43455.74,Molokai,-157.305,21.09518,42037.05,-157.296,21.07764
Oscar Elton Sette_12_06station37,PICDR-113164,10/07/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113164,none,Cruise Report,larv,,0,Main Hawaiian Islands,Lanai,25nm off leeward Kona coast,37,"leeward, pelagic",20.733200000,-157.48300000000,,,dmm,8/23/2012,8,23,2012,08/12/2012-08/25/2020,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,376,,34.82,,,night,0,,170,0,Oscar Elton Sette_8/23/2012_37_night,0,24024144,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,25,,,,,,,,11,,35.09997,21.55425,26.33514,,,,0,20.7332,-157.483,-2501.61,-2592.59,44164.77,Molokai,-157.305,21.09518,42822.45,-157.296,21.07764
Oscar Elton Sette_12_06station39,PICDR-113165,10/08/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113165,none,Cruise Report,larv,,0,Main Hawaiian Islands,Lanai,75nm off leeward Kona coast,39,"leeward, pelagic",20.743916667,-158.34155000000,,,dmm,8/23/2012,8,23,2012,08/12/2012-08/25/2020,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,376,,34.82,,,night,0,,170,0,Oscar Elton Sette_8/23/2012_39_night,0,24024144,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,75,,,,,,,,12,,35.05221,21.11278,26.44255,,,,3,20.74392,-158.342,-4106.58,-4130.83,65861.59,Oahu,-158.106,21.2961,63747.84,-158.103,21.27428
Oscar Elton Sette_12_06station42,PICDR-113166,10/09/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113166,none,Cruise Report,larv,,0,Main Hawaiian Islands,Lanai,50nm off leeward Kona coast,42,"leeward, pelagic",20.803816667,-157.93000000000,,,dmm,8/24/2012,8,24,2012,08/12/2012-08/25/2020,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,374,,34.63,,,night,0,,170,0,Oscar Elton Sette_8/24/2012_42_night,0,23896356,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,50,,,,,,,,13,,35.13789,21.73585,26.22964,,,,0,20.80382,-157.93,-2009.33,-2088.12,51479.54,Oahu,-157.814,21.25579,50073.85,-157.801,21.23961
Oscar Elton Sette_12_06station43,PICDR-113167,10/10/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113167,none,Cruise Report,larv,,0,Main Hawaiian Islands,Lanai,50nm off leeward Kona coast,43,"leeward, pelagic",20.806666667,-157.92833333333,,,dmm,8/25/2012,8,25,2012,08/12/2012-08/25/2020,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,331,,30.65,,,night,0,,170,0,Oscar Elton Sette_8/25/2012_43_night,0,21148914,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,50,,,,,,,,13,,35.13789,21.73585,26.22964,,,,0,20.80667,-157.928,-1925.07,-1914.19,51132.21,Oahu,-157.814,21.25579,49723.51,-157.801,21.23961
Oscar Elton Sette_12_06station5,PICDR-113149,09/22/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113149,none,Cruise Report,larv,,0,Main Hawaiian Islands,Oahu,50nm W of leeward,5,"leeward, pelagic",21.376700000,-159.14888333333,,,dmm,8/14/2012,8,14,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,374,,34.63,,,night,0,,170,0,Oscar Elton Sette_8/14/2012_5_night,0,23896356,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,50,,,,,,,,2,,35.12568,21.9707,25.86762,,,,3,21.3767,-159.149,-4238.74,-4262.15,62407.82,Kauai,-159.443,21.86843,61333.33,-159.439,21.85947
Oscar Elton Sette_12_06station8,PICDR-113150,09/23/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113150,none,Cruise Report,larv,,0,Main Hawaiian Islands,Oahu,75nm W of leeward,8,"leeward, pelagic",21.354516667,-159.57176666667,,,dmm,8/14/2012,8,14,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,342,,31.67,,,night,0,,170,0,Oscar Elton Sette_8/14/2012_8_night,0,21851748,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,75,,,,,,,,3,,35.1635,21.6604,25.89366,,,,2,21.35452,-159.572,-3767.5,-3768.21,58394.35,Kauai,-159.444,21.86825,57289.6,-159.515,21.86922
Oscar Elton Sette_12_06station9,PICDR-113151,09/24/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113151,none,Cruise Report,larv,,0,Main Hawaiian Islands,Oahu,75nm W of leeward,9,"leeward, pelagic",21.378683333,-159.54521666667,,,dmm,8/15/2012,8,15,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,382,,35.37,,,night,0,,170,0,Oscar Elton Sette_8/15/2012_9_night,0,24407508,NA,NA,NA,NA,NA,6,,,,,,,,,,,,,75,,,,,,,,3,,35.1635,21.6604,25.89366,,,,4,21.37868,-159.545,-3601.69,-3577.88,55205.33,Kauai,-159.444,21.86825,54210.69,-159.443,21.85879
SE1206001ETEL-01,PICDR-113137,08/13/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Oahu,"25nm West, leeward side",1,"leeward, pelagic",21.378950000,-158.64295000000,21.46006667,0,dmm,8/12/2012,8,12,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,381,,35.28,3 knots tow speed,,night,0,"NA, 3 casts listed, 1 hr per depth",255,1,Oscar Elton Sette_8/12/2012_1_night,1,24343614,whole,PIFSC,Bob Humphreys,"O'Malley, J",PIFSC,6,,17,FL,17,NA,17,NA,25,von Bertalanffy,NA,NA,3 lutjanid larvae,25,NA,NA,"RV002, st.2, ctd 1 630",21°24.218 N,158°36.804 W,dms,08/13/2012,temp listed is average of surface to 35m,25.793,35.1838267,25.772,25.806,4.494,,,3,21.37895,-158.643,-3109.54,-3086.01,43303.91,Oahu,-158.281,21.57474,41389.81,-158.301,21.57137
SE1206004ETEL-02,PICDR-113137,08/13/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls","cobb trawl data sheet, matched with peer reviewed supplement",english,supplement,doi.org/10.1002/mcf2.10156,doi.org/10.1002/mcf2.10156,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Oahu,50nm off leeward side,4,"leeward, pelagic",21.364983333,-159.11936666667,21.44628333,0,dmm,8/13/2012,8,13,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,342,,31.67,3 knots tow speed,,night,0,NA,189,1,Oscar Elton Sette_8/13/2012_4_night,1,21851748,whole,PIFSC,Bob Humphries,"O'Malley, J",PIFSC,6,,14,FL,14,NA,14.1,NA,19,von Bertalanffy,NA,NA,3 lutjanid larvae,50,NA,NA,"RV002, st.3, ctd 2 1730",21°21.032 N,159°07.291 W,dms,08/14/2012,temp listed is average of surface to 35m,25.823,35.203,25.791,25.868,4.514,,,3,21.36498,-159.119,-4307.49,-4324.33,65065.55,Kauai,-159.443,21.86843,63995.18,-159.439,21.85947
SE120629ETEL-02,PICDR-113137,09/01/2021,in person,specimen vials,cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,eteline,1,Main Hawaiian Islands,Hawaii,50 nm off leeward Kona coast,29,"leeward, pelagic",19.601333333,-156.89558333333,19.7776,0,dmm,8/20/2012,8,20,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,337,,31.21,3 knots tow speed,,night,0,NA,175,1,Oscar Elton Sette_8/20/2012_29_night,1,21532278,whole,PIFSC,Bob Humphries,,PIFSC,6,,29.2,FL,29.2,NA,25.5,NA,16,von Bertalanffy,NA,NA,2 lutjanid,50,NA,NA,st.9,19 34.794 N,156 55.766 W,dmm,08/21/2012,temp listed is average of surface to 35m,26,35.032,25.977,26.053,4.469,,,5,19.60133,-156.896,-4762.88,-4758.95,88543.65,Hawaii,-156.062,19.72758,88407.27,-156.063,19.72707
SE120632ETEL-05,PICDR-113137,09/10/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,specimen list,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,"eteline, pelagic stage",1,Main Hawaiian Islands,Hawaii,25 nm off leeward Kona coast,32,"leeward, pelagic",19.656866667,-156.42330000000,19.4668,0,dmm,8/21/2012,8,21,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,338,,31.30,3 knots tow speed,,night,0,NA,181,2,Oscar Elton Sette_8/21/2012_32_night,2,21596172,whole,PIFSC,Bob Humphries,"O'Malley, J",PIFSC,6,,25,FL,25,NA,NA,NA,26,von Bertalanffy,NA,NA,NA,25,NA,NA,st 10,19 40.800 N,156 25.438 W,dmm,08/22/2012,temp listed is average of surface to 35m,25.522,35.225,24.478,26.314,4.563,,,37,19.65687,-156.423,-4660.02,-4660.91,38700.37,Hawaii,-156.062,19.72758,38560.46,-156.063,19.72665
SE120640LUTJ-01,PICDR-113137,09/10/2021,pifsc_oracle_db,"OES 12-06, 11-06, Cobb trawls",cobb trawl data sheet,english,supplement,PICDR-113137,none,Markedly Similar Growth and Longevity of Green Jobfish Aprion virescens over an Expansive Geographic Range between the Hawaiian Archipelago and the Eastern Indian Ocean,larv,lutjanid,1,Main Hawaiian Islands,Lanai,75 nm off leeward Lanai,40,"leeward, pelagic",20.742433333,-158.35316666667,20.86735,0,dmm,8/24/2012,8,24,2012,08/12/2012-08/25/2012,Oscar Elton Sette,12_06,COBB TRAWL,1000,690,,,3,knots,373,,34.54,3 knots tow speed,,night,0,NA,171,1,Oscar Elton Sette_8/24/2012_40_night,1,23832462,whole,PIFSC,Bob Humphries,"O'Malley, J",PIFSC,6,20.17142857,13,FL,13,NA,NA,NA,10,von Bertalanffy,NA,NA,NA,75,NA,NA,st 12,20 43.703 N,158 20.654 W,dmm,08/24/2012,temp listed is average of surface to 35m,25.931,35.232,25.786,26.053,4.498,-4240,paper,5,20.74243,-158.353,-4120.91,-4140.08,66471.71,Oahu,-158.106,21.2961,64377.77,-158.103,21.27428
TC8504_003_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W5N1,3,"windward, pelagic",21.536670000,-157.75700000000,NA,NA,dd,9/6/1985,9,6,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,night,0,20,200,5,TC8504_3,5,628.1,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.28,41.52,26.05,26.52,,-435,google_earth,434,21.53667,-157.757,-436.906,-402.488,8088.104,Oahu,-157.834,21.52643,5413.42,-157.794,21.50222
TC8504_005_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W5D2,5,"windward, pelagic",21.550000000,-157.77700000000,NA,NA,dd,9/7/1985,9,7,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,day,0,20,200,2,TC8504_5,2,584.5,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.15,41.51,25.99,26.38,,-502,google_earth,202,21.55,-157.777,-502.723,-417.994,6452.997,Oahu,-157.835,21.52929,4476.826,-157.819,21.54174
TC8504_008_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W2D2,8,"windward, pelagic",21.531670000,-157.79000000000,NA,NA,dd,9/7/1985,9,7,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,day,10,20,80,1,TC8504_8,1,609.1,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,4,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.26,41.56,26.02,26.34,,-185,google_earth,405,21.53167,-157.79,-189.596,-171.035,4626.126,Oahu,-157.834,21.52643,2247.078,-157.809,21.52231
TC8504_010_7,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W2N2,10,"windward, pelagic",21.533330000,-157.79800000000,NA,NA,dd,9/7/1985,9,7,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,night,20,30,80,1,TC8504_10,1,603,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,25.62,41.59,25.15,25.91,,-105,google_earth,1874,21.53333,-157.798,-105.918,-85.1954,3834.559,Oahu,-157.834,21.52694,1651.997,-157.81,21.5237
TC8504_011_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15D1,11,"windward, pelagic",21.546670000,-157.58200000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,day,0,20,200,9,TC8504_11,9,563.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,3.1,3.1,SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.47,41.43,26.44,26.59,,-1791,google_earth,449,21.54667,-157.582,-1770.28,-1916.05,17487.05,Oahu,-157.722,21.45892,15203.8,-157.708,21.47705
TC8504_014_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15N1,14,"windward, pelagic",21.526670000,-157.58700000000,NA,NA,dd,9/8/1985,9,8,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,night,0,20,200,1,TC8504_14,1,589.7,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,"double checked high salinity values, they track",26.58,41.35,26.14,26.73,,,,451,21.52667,-157.587,-1628.41,-1664.62,15902.57,Oahu,-157.722,21.45887,13734.35,-157.708,21.47705
TC8504_015_9,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,W15N2,15,"windward, pelagic",21.513330000,-157.60800000000,NA,NA,dd,9/9/1985,9,9,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,night,0,20,200,3,TC8504_15,3,603.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.54,41.43,26.01,26.78,,,,450,21.51333,-157.608,-1221.92,-1217.18,13290.24,Oahu,-157.722,21.45887,11160.11,-157.708,21.47705
TC8504_031_7,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1D2,31,"leeward, pelagic",21.371670000,-158.15800000000,NA,NA,dd,9/11/1985,9,11,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,day,10,20,80,2,TC8504_31,2,592.1,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.8,41.5,26.74,26.86,,,,288,21.37167,-158.158,-89.648,-221.842,1445.72,Oahu,-158.147,21.37932,545.6715,-158.154,21.3751
TC8504_032_7,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1N1,32,"leeward, pelagic",21.368330000,-158.15800000000,NA,NA,dd,9/11/1985,9,11,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,night,10,20,80,28,TC8504_32,28,577.4,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.75,41.47,26.71,26.83,,,,762,21.36833,-158.158,-227.614,-221.842,1687.478,Oahu,-158.147,21.37923,816.6974,-158.151,21.37115
TC8504_032_8,inPort,06/02/2021,InPort,NA,government non-fisheries report,English,whole text,Boehlert and Mundy 1996,ID: 8791,"Larval Fish Identification from Cruises at Oahu, TC-85-04, TC-85-05, TC-86-02, TC-86-04",larv,none,1,Main Hawaiian Islands,Oahu,L1N1,32,"leeward, pelagic",21.368330000,-158.15800000000,NA,NA,dd,9/11/1985,9,11,1985,6-15 September 1985,R/V Thomson Cromwell,TC8504,MOCNESS,333,1,,,75,cm/s,12,,0.54, 333micron mesh,,night,0,10,80,91,TC8504_32,91,624.5,whole,PIFSC,Mundy,Mundy,PIFSC,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,hard copy folder in L drive,same_as_mocness,same_as_mocness,dd,same_as_mocness,NA,26.83,41.4668,26.78,26.93,,,,497,21.36833,-158.158,-227.614,-221.842,1687.478,Oahu,-158.147,21.37923,816.6974,-158.151,21.37115
