sample_record_identifier,source,date_searched,search_engine,search_terms,type_of_record,language,where_in_text?,doi,specimen record,paper title,life_stage,further_description,uku_present_absent,region,island,site,station,habitat_type,latitude_start_dd,longitude_start_dd,latitude_end_dd ,longitude_end_dd ,dms_or_dd,collection_date,collection_month,collection_day,collection_year,cruise_dates,ship_name,cruise_number,sampling_method,sampling_method_mesh_size_um,sampling_method_net_area_m2,sampling_method_net_diamteter_m,sampling_method_net_length_m,sampling method_tow_speed_no_unit,sampling method_tow_speed_unit,sampling_method_tow_time_minutes,sampling_distance_km_per_net_from_distance,sampling_distance_km_per_net_from_time,sampling_method_notes,day_night,collection_depth_m_min,collection_depth_m_max,max_cast_depth(m),number_of_individuals,tow_id,number_of_uku_per_Vm^3,V_in_m^3,whole_part_or_DNA?,specimen_location,collected_by_person,identified_by_person,identified_by_insitiution,spawn_peak,avg_fork_length_mm_from_lot,length_mm,length_type,indiv_fork_length_mm,avg_standard_length_from_lot,indiv_standard_length_mm,indiv_total_length_mm,estimated_age_days,growth_model_used,visual_of_larvae,link_to_paper,community_composition,distance_to_shore_nm,prey_items_present_Y_N,which_prey_items,link_to_cruise_ctd_metadata,ctd_latitude,ctd_longitude,ctd_coord_type,ctd_date,notes,temp_at_colllection_depth,sal_at_depth,min_possible_temp,max_possible_temp,do,bottom depth_m,bottom_depth_method,number_of_nonuku_individuals_from tow
I.25000-029,email,25/03/2037,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-029,"Material examined - Leis & Lee, 1994. Eteline Larval Development.  Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,5/4,"nearshore, sandy bottom",21.351520100,-158.13810500000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,0,1,1,1,NA_7/5/1972_5/4_night,2,662.5,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078578,NA,797.0362161,0.43,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,25.8,25.8,,,,127
I.25000-030,email,25/03/2038,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-030,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,1/4,"nearshore, ""mostly dead massive coral""",21.362308800,-158.13401000000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,9,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,0,1,1,1,NA_7/5/1972_1/4_night,1,590.8,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078579,NA,68.56147604,0.04,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,26,26,,,,245
I.25000-031,email,25/03/2039,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-031,"Leis and Watson in U.R.S. Research Co., 1972",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"6/3, station D","nearshore, reef",21.350649000,-158.14018440000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,50,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,0,1,1,1,"NA_7/5/1972_6/3, station D_night",2,158.2,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078580,NA,988.1145465,0.53,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,,,,-200,paper,
I.25000-032,email,25/03/2040,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-032,"Leis and Watson in U.R.S. Research Co., 1972",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"2/3, station D","nearshore, massive reef",21.354065200,-158.13066030000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,0,1,1,1,"NA_7/5/1972_2/3, station D_night",1,511.7,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078581,NA,63.1084394,0.03,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,27.9,30,,-200,paper,255
I.25000-033,email,25/03/2041,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-033,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2). D",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"Station 2, tow 4","nearshore, ""mostly dead massive coral""",21.354065200,-158.13066030000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,0,1,1,1,"NA_7/5/1972_Station 2, tow 4_night",1,348.6,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078582,NA,63.1084394,0.03,NA,NA,"Station 2, tow 4",,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,27.9,30,,,,152
I.25000-034,email,25/03/2042,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-034,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"5/3, illustrated as above De","nearshore, sandy bottom",21.351520100,-158.13810500000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,0,1,1,1,"NA_7/5/1972_5/3, illustrated as above De_night",1,420.2,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,4.2,TL,NA,NA,NA,4.2,NA,NA,8078583,NA,797.0362161,0.43,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,25.8,25.8,,,,301
I.25000-035,email,25/03/2043,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-035,"Leis and Watson in U.R.S. Research Co., 1972",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"6/3, Station D","nearshore, reef",21.350649000,-158.14018440000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,50,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,7.6,9.1,9.1,1,"NA_7/5/1972_6/3, Station D_night",2,158.2,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078584,NA,988.1145465,0.53,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,,,,,,
I.25000-036,email,25/03/2044,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-036,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,3/1,"nearshore, thin sand and coral",21.348024900,-158.13086420000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,day,0,1,1,1,NA_7/5/1972_3/1_day,1,440,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8078585,NA,160.4987855,0.09,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,25.9,25.9,,,,17
I.25000-037,email,25/03/2045,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",,I.25000-037,"Material examined - Leis & Lee, 1994",larv,none,1,Main Hawaiian Islands,Oahu,Kahe Point,"5/4, illustrated as above De","nearshore, sandy bottom",21.351520100,-158.13810500000,NA,0,dmm,05/07/1972,7,5,1972,05/07/1972 - 05/07/1972,NA,"Leis and Watson in U.R.S. Research Co., 1972",1 meter net,505,0.7853981634,1,,,,10,,#N/A,net info from email from Jeff and his 1982 papernad his PhD. Currently trying to rememebr how I input ship  and net size information for different samples since all of theses were collected on the same day,night,0,1,1,1,"NA_7/5/1972_5/4, illustrated as above De_night",2,662.5,whole,Australian Museum,"Leis, Dr. Jeff Martin","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,3.3,TL,NA,NA,NA,3.3,NA,NA,8078586,NA,797.0362161,0.43,NA,NA,,,,,,"temp data is from July 6th day time, volume is of full tow but only a subsample of that ws actually assessed taxonomically, from table 5-1, day time temps in URS document, coordinates QC, (5) was wrong, Andrea changed it based off publication information, old point: 21° 33' N        158° 35' W",,,25.8,25.8,,,,127
I.25362-005,email,25/03/2046,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1991,I.25362-005,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2);  collection info in: Thomas A. Clarke (1983) Comparison of Abundance Estimates of Small Fishes
by Three Towed Nets and Preliminary Results of the Use of Small Purse Seines as Sampling
Devices, Biological Oceanography, 2:2-4, 311-340, DOI: 10.1080/01965581.1983.10749464",larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,770802,pelagic,21.346870000,-158.25000000000,21.5,0,dmm,08/10/1977,8,10,1977,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,RV Kana keoki,Kana_Keoki_1977,IK,6000,,,3.05,2,m/s,110,,3666.666667,3-m Isaacs-Kidd midwater trawl (IK) with a body of ca. 6-mm mesh netting was towed at ca. 2 m/sec and fished between the surface and a mean maximum depth of 325 m. ,night,0,unknown,330,1,RV Kana keoki_8/10/1977_770802_night,NA,NA,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,4.5,TL,NA,NA,NA,NA,NA,NA,8080179,clarke 1991,NA,NA,NA,NA,,,,,,"collection site info from Clarke 1991; differs from Australian Museum information but Australian Museum site was on lamd, individuals per volume is total number of uku per a given towdividied by water volume of that tow",,,,,,-2000,publication,
I.25362-006,email,25/03/2047,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1991,I.25362-006,"Material examined - Leis & Lee, 1994. Eteline Larv; Thomas A. Clarke (1983) Comparison of Abundance Estimates of Small Fishes
by Three Towed Nets and Preliminary Results of the Use of Small Purse Seines as Sampling
Devices, Biological Oceanography, 2:2-4, 311-340, DOI: 10.1080/01965581.1983.10749464",larv,none,1,Main Hawaiian Islands,Oahu,Waianae Coast,780804,pelagic,21.246870000,-158.25000000000,21.5,0,dmm,08/10/1977,8,3,1978,between August 1977 and October 1978. Most cruises were within 1-2 days of new moon of each lunar month during the period.,RV Kana keoki,Kana_Keoki_1978,large bongo,2500,1.22718463,1.25,,1.75,m/s,105,,3062.5,ca. 2. 5 ,night,0,unknown,330,1,RV Kana keoki_8/3/1978_780804_night,NA,NA,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,5,TL,NA,NA,NA,NA,NA,NA,8080180,clarke 1991,NA,NA,NA,NA,,,,,,"collection site info from Clarke 1991; differs from Australian Museum information but Australian Museum site was on lamd, individuals per volume is total number of uku per a given towdividied by water volume of that tow",,,,,,-2000,publication,
I.25650-001,email,25/03/2048,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.25650-001,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,Main Hawaiian Islands,Oahu,off Oahu,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,71-10.3,10,5,1971,10/1971 - 10/1971,RV Teritu,Luna II,IK,333,322.58,1,3.048,1.75,m/s,92,,2683.333333,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,50,1,RV Teritu_10/5/1971_NA_NA,2,865589666.7,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8081102,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.25650-004,email,25/03/2049,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1973,I.25650-004,NA,larv,none,1,Main Hawaiian Islands,Oahu,off Oahu,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,71-10-3,10,5,1971,10/1971 - 10/1971,RV Teritu,Luna II,IK,333,322.58,1,3.048,1.75,m/s,92,,2683.333333,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,50,1,RV Teritu_10/5/1971_NA_NA,2,865589666.7,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8081105,clarke 1973,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.25650.019,email,25/03/2050,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA",clarke 1974,I.25650.019,NA,larv,none,1,Main Hawaiian Islands,Oahu,off Oahu,NA,NA,21.333333333,-158.33333333333,NA,0,dmm,10/1971 - 10/1971,10,NA,1971,10/1971 - 10/1971,RV Teritu,Luna II,IK,333,322.58,1,3.048,1.75,m/s,NA,,#VALUE!,"""All tows qith a 10' IK trawl; shot and towed at about 4 knots, hualed at about 2 knots."" Tow time is listed as time spent at depth. Tome in min to pay out cable, adjust depth and retrival are not included.",NA,0,NA,NA,1,RV Teritu_10/NA/1971_NA_NA,NA,NA,whole,Australian Museum,"Clarke, Dr. Thomas A.","Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,6,NA,,NA,NA,NA,NA,NA,NA,NA,8002115,clarke 1974,NA,NA,NA,NA,ncei 7400801,,,,,individuals per volume is total number of uku per a given towdividied by water volume of that tow,,,,,,,,
I.26058-012,email,25/03/2051,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26058-012,NA,larv,none,1,"New South Wales, Australia",NA,NE of Hat Head,NA,NA,-31.000000000,153.36666666667,NA,0,dmm,20/01/1983,1,20,1983,20/01/1983 - 20/01/1983,RV Sprightly,SP 01/83,RING NET,500,,,,,,,,#N/A,,night,0,NA,288,1,RV Sprightly_1/20/1983_NA_night,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8082671,"maybe in conference presentation, available in PIFSC library acession here: https://noaa.sirsi.net/uhtbin/cgisirsi/x/x/0/5?StylesheetManager_TSSM=&ScriptManager_TSM=%3B%3BSystem.Web.Extensions%2C+Version%3D4.0.0.0%2C+Culture%3Dneutral%2C+PublicKeyToken%3D31bf3856ad364e35%3Aen%3Aba1d5018-bf9d-4762-82f6-06087a49b5f6%3Aea597d4b%3Ab25378d2&__EVENTTARGET=&__EVENTARGUMENT=&__VIEWSTATE=zc1rVVv%2F3YXeyHKqSHm4w5hG9V63TOW6OQI%2FdEt75PbcxeGB1xgPXDYxtIM%2BZFXGVfJIIvdaHk%2Brr7o%2FTxxM8X58QWLIbOj84G45sFOkgrg1BlHyi89o4Q0FZsHRS2BShENKLgV0E85OlMrDWm993FR2QPInB%2BmfZp1awAJ8Koljz3wsCoN3N0faoAEYSVVF%2BpncJqD%2BwjMoQe9MhgoSBz9E4jR96we1pzcPvIPOl0kO0%2BFkjTEQRZKOrl1hrP17V%2FKYXhnVoLRYpv0%2BBRrwIgkCgb%2FqcpzpB0ja9bN4yR3cSrwOb%2B8zd7gzWBjwypfbo2fuJfe3GLWOuj9xGnBvmupbyiTdWFnVHWj2XRp04PvyVwnpdqaXRemssYk%2FkjC1ZSHDF57JoO0O47SeKVGmH20XPRpIIT5ceDvNpx2Hau5K42pufum4BeR85MQfyaj13NeUwDovBp8U5XRvpDAnb9%2B9eARSm6d20Biane%2Fe0p7v0hUZGnmVeE6Faj2U%2B4A4dGRawq7QGUQ3bz4YOmQYOl12gWXh8KdOIxnBDIW8NKFSKw5wqHzjaeGsgA18G%2Bhoq6a0QHbZXtfknOrs4nfHXBaAYgsBxj7%2Bliio6UZ94UD1peyBePdePm2X2pDVDO9Jn%2B5bM8Pg9MkM5566buZLdwlSsPzZaMthaSAK6BA5KVVQm6PcmoRQRxWLaLI%2F4TzaiQJ6BKkPUSs9uCQtztRN%2BKLSoDkF1h4%2FCzkaxrRBPlvO1ZN2OrdcNvzHqgG0nNb8Jcp3zuVKpKoni1ATqemx7Gmvii1211b3jK6wcisJPpKZjEBCe%2FJKsfA1wzNImTdQMgEt9Q%3D%3D&__VIEWSTATEGENERATOR=CA0B0334&__VIEWSTATEENCRYPTED=&__EVENTVALIDATION=T08PNVh3exkXjDZAzLd2bfew3q10sdUK21W59Zln7zeDRYgBPUcPzKidspJeMbw7h85vztLCnXy96fnZ8hnnqIpqQls0MKczIytYP4lXzxK%2FIRymqIILzXlCD3GST60HHvGXzlXswOmaMPCWIxbCYyCgVP0%3D&dnn%24Search4%24txtSearch=&sort_by=relevance&searchdata1=Proceedings+of+the+Second+International+Conference+on+Indo-Pacific+Fishes&ScrollTop=&__dnnVariable=%60%7B%60__scdoff%60%3A%601%60%2C%60sf_siteRoot%60%3A%60%2F%60%2C%60sf_tabId%60%3A%601732%60%2C%60evoq_TabId%60%3A%601732%60%2C%60evoq_PageLanguage%60%3A%60en-US%60%2C%60evoq_ContentItemId%60%3A%60-1%60%2C%60evoq_UrlReferrer%60%3A%60https%3A%2F%2Fwww.google.com%2F%60%2C%60evoq_UrlPath%60%3A%60https%253a%252f%252flibrary.noaa.gov%252f%60%2C%60evoq_UrlQuery%60%3A%60%253fTabId%253d1732%2526language%253den-US%60%2C%60evoq_ContentItemReferrer%60%3A%60-1%60%2C%60evoq_PersonalizedUrlReferrer%60%3A%60-1%60%2C%60evoq_DisableAnalytics%60%3A%60False%60%7D&__RequestVerificationToken=rYKyn-ce_FAaxTvfBSZswT-wwwsrOUHSLAdp1qES-weRfKH5ABzBGTT8qttjutj3IqBtag2",NA,NA,NA,NA,sprightly voyage hyd 1/83 data,,,,,NA,NA,NA,NA,NA,193.2088,NA,NA,
I.26062-002,email,25/03/2052,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26062-002,"Material examined - Leis & Lee, 1994. Eteline Larval Development. Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",NA,NE of Hat Head,NA,NA,-31.000000000,153.36666666667,NA,0,dmm,20/01/1983 ,1,20,1983,20/01/1983 - 20/01/1983,RV Sprightly,SP 01/83,RING NET,500,,,,,,,,#N/A,,night,0,NA,288,1,RV Sprightly_1/20/1983_NA_night,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8082702,NA,NA,NA,NA,NA,sprightly voyage hyd 1/83 data,,,,,NA,NA,NA,NA,NA,193.2088,NA,NA,
I.26110-011,email,25/03/2053,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26110-011,NA,larv,none,1,"New South Wales, Australia",NA,SE of Crowdy Head,NA,NA,-31.983333333,153.20000000000,NA,0,dmm,22/03/1983,3,22,1983,22/03/1983 - 22/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,288,1,RV Sprightly_3/22/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8083032,NA,NA,NA,NA,NA,6/83 hyd data,-32,153.15,64,22-Mar-1983,from average of all depths at these coordinates,NA,35.49189,20.2,25.2,,-1009,google_earth,
I.26111-014,email,25/03/2054,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26111-014,NA,larv,none,1,"New South Wales, Australia",NA,SE of Crowdy Head,NA,NA,-31.983333333,153.16666666667,NA,0,dmm,22/03/1983,3,22,1983,22/03/1983 - 22/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,131,1,RV Sprightly_3/22/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,5,SL,NA,NA,5,NA,NA,NA,8083056,NA,NA,NA,NA,NA,6/83 hyd data,-30,153.5667,64,22-Mar-1983,from average of all depths at these coordinates,NA,35.5742,20.2,25.2,,-460,google_earth,
I.26111-015,email,25/03/2055,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26111-015,NA,larv,none,1,"New South Wales, Australia",NA,SE of Crowdy Head,NA,NA,-31.983333333,153.16666666667,NA,0,dmm,22/03/1983,3,22,1983,22/03/1983 - 22/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,288,1,RV Sprightly_3/22/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,3,SL,NA,NA,3,NA,NA,NA,8083057,NA,NA,NA,NA,NA,6/83 hyd data,-32,153.15,64,22-Mar-1983,from average of all depths at these coordinates,NA,35.49189,20.2,25.2,,-460,google_earth,
I.26112-002,email,25/03/2056,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26112-002,NA,larv,none,1,"New South Wales, Australia",NA,SE of Crowdy Head,NA,NA,-31.983333333,153.08333333333,NA,0,dmm,23/03/1983,3,23,1983,23/03/1983 - 23/03/1983,RV Sprightly,SP 06/83,OBLIQUE TOW,500,,,,,,,,#N/A,,NA,0,NA,288,1,RV Sprightly_3/23/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,4,SL,NA,NA,4,NA,NA,NA,8083071,NA,NA,NA,NA,NA,6/83 hyd data,-32,153.15,64,22-Mar-1983,from average of all depths at these coordinates,NA,35.49189,20.2,25.2,,-138,google_earth,
I.26112-006,email,25/03/2057,Australian Museum,"""Aprion virescens""",museum collection record,English,"museum record, NA","? (Gray 1993 in Marine Biology about Ichtyoplankton distrobutions), Env data from CSRIO Metadatabase for the cruise",I.26112-006,"Material examined - Leis & Lee, 1994. Eteline Larval Development.  Bull. Mar. Sci. 54(2).",larv,none,1,"New South Wales, Australia",NA,SE of Crowdy Head,NA,NA,-31.983333333,153.08333333333,NA,0,dmm,23/03/1983,3,23,1983,23/03/1983 - 23/03/1983,RV Sprightly,SP 06/83,RING NET,500,,,,,,,,#N/A,,NA,0,NA,286,1,RV Sprightly_3/23/1983_NA_NA,NA,NA,whole,Australian Museum,Dunning,"Leis, Dr. Jeff Martin",Australian Museum - Ichthyology,3,NA,,NA,NA,NA,NA,NA,NA,NA,8083075,NA,NA,NA,NA,NA,6/83 hyd data,-32.03333,153.1333,64,22-Mar-1983,from average of all depths at these coordinates,NA,35.45689,20.2,25.2,,-138,google_earth,
